text,label
"Congratulations! You've won a $1000 gift card. Click here to claim your prize now!",spam
"Your account has been compromised. Verify your password immediately at our secure link.",phishing
"Meeting tomorrow at 10am to discuss Q3 results. Please prepare the budget spreadsheet.",important
"50% off all shoes this weekend only! Shop now and save big.",promotion
"URGENT: Your bank account will be suspended unless you verify your details today.",phishing
"Free iPhone giveaway! You are selected. Click to claim before it expires.",spam
"Hi, just a reminder that your dentist appointment is scheduled for Thursday at 2pm.",important
"Exclusive member discount - 30% off your next purchase with code SAVE30.",promotion
"Dear customer, your PayPal account has been limited. Click here to restore access.",phishing
"Win $500 cash daily! Enter our sweepstakes by clicking the link below.",spam
"The project deadline has been moved to Friday. Please update your tasks accordingly.",important
"Flash sale! Buy 2 get 1 free on all clothing items. Limited time offer.",promotion
"Your OTP is 827361. Enter this code to verify your identity. Do not share with anyone.",phishing
"Invitation to team lunch next Wednesday. Please RSVP by Tuesday.",important
"Big savings on electronics! Laptops starting at $199. Shop online today.",promotion
"You owe $1,200 in unpaid taxes. Call immediately to avoid legal action.",spam
"ACTION REQUIRED: Click here to verify your email or lose access to your account.",phishing
"Please find attached the quarterly report for your review. Let me know your thoughts.",important
"New season arrivals are here! Check out our latest collection and get 20% off.",promotion
"Nigerian prince needs your help to transfer $10 million. You will receive 30%.",spam
"Verify your identity now or your account will be permanently deleted.",phishing
"Team standup moved to 3pm today. See you all then.",important
"Summer sale is here! Up to 70% off selected items. Don't miss out.",promotion
"You have been selected for a secret government program. Click to learn more.",spam
"Your credit card ending in 4521 will be charged $299. Call to dispute this charge.",phishing
"Please review and sign the attached contract by end of week.",important
"Exclusive offer for our loyal customers: Free shipping on orders over $50.",promotion
"Get rich quick! Work from home and earn $5000 a week.",spam
"Security alert: Someone tried to login to your account from an unknown device.",phishing
"Reminder: Your annual performance review is scheduled for next Monday at noon.",important
"Halloween deals! Costumes and decorations at unbeatable prices.",promotion
"You are a winner! Claim your prize money of $50,000 by clicking this link.",spam
"Urgent message from your bank: Your account has been temporarily locked.",phishing
"Hi team, please submit your timesheets before Friday's payroll cutoff.",important
"Back to school sale! Notebooks, backpacks, and supplies at amazing prices.",promotion
"Act now! Your subscription will expire. Renew immediately to avoid service interruption.",spam
"We noticed unusual activity on your account. Please verify your identity.",phishing
"The board meeting has been rescheduled to next Thursday. Location is Conference Room B.",important
"Weekend special: Buy one pizza get one free. Order online now.",promotion
"You've been pre-approved for a $10,000 loan. Apply now with no credit check.",spam
"Your Apple ID has been locked. Verify your information to unlock your account.",phishing
"Please provide your feedback on the new office layout proposal by Friday.",important
"Cyber Monday deals! Up to 80% off electronics, clothing, and more.",promotion
"Congratulations! Your email was randomly selected to win a luxury cruise.",spam
"Your Netflix account password has been changed. Click here if you did not do this.",phishing
"Client presentation is at 2pm sharp. Make sure the conference room is booked.",important
"Subscriber exclusive: 25% off your next order. Use code LOYAL25 at checkout.",promotion
"Final notice: You owe money. Pay immediately or face legal consequences.",spam
"We have detected suspicious login activity. Confirm your password to secure your account.",phishing
"The annual company picnic is next Saturday. Families are welcome. RSVP by Wednesday.",important
"New arrivals just in! Check out our fresh styles and grab a 15% discount.",promotion
"You won the lottery! Send us your bank details to receive your winnings.",spam
"Your social security number has been flagged. Call us to resolve this issue.",phishing
"Kindly review the attached invoice and process payment at your earliest convenience.",important
"Clearance sale! Last chance to get items up to 60% off.",promotion
"Make $500 a day from home with our secret method. No experience needed.",spam
"We need to verify your credit card information to prevent unauthorized charges.",phishing
"Your flight confirmation for next Tuesday: Flight AA123 departing at 8am.",important
"Holiday gift guide is here! Find the perfect present for everyone on your list.",promotion
"Be your own boss! Join our MLM network and earn passive income.",spam
"Your Google account has been compromised. Reset your password immediately.",phishing
"Can you review the draft proposal I sent last week? I need your feedback by Thursday.",important
"Members only: Early access to our biggest sale of the year starting tonight.",promotion
"Lose 30 pounds in 30 days with this miracle diet pill! Order now.",spam
"Verify your bank account to unlock a special reward waiting for you.",phishing
"Please join us for a virtual town hall on company strategy this Friday at 11am.",important
"Brand new collection just dropped! Get 10% off your first order from our new line.",promotion
"You have unclaimed prize money. Send your personal details to claim $25,000.",spam
"URGENT: Your password will expire in 24 hours. Update now to avoid being locked out.",phishing
"Looking forward to our catch-up call tomorrow. I'll send over the agenda shortly.",important
"Weekend brunch special at participating locations. Buy any entree, get a free drink.",promotion
"Exclusive investment opportunity! Double your money in 30 days, guaranteed.",spam
